filename,angle,lighting,venue,filming,notes
IMG_8060.mov,steep,good,board,good,decoy at 45
IMG_9139.mov,steep,good,gym,good,hard due to shoulder engagement 
IMG_9184.mov,steep,good,outside,good, crash pads are identified as person before climbing starts
IMG_9232.mov,steep,bad,board,good,decoy at 45
IMG_9233.mov,steep,bad,board,good,decoy at 45
rose-bloc-slab.mov,vertical,good,gym,good,filmed handheld
rose-bloc-comp.mov,vertical,good,gym,good,filmed handheld
low-angle-crimps.mov,vertical,good,gym,good,
french-press.mov,steep,good,outside,bad,rock occluding some of body
daily.mov,steep,bad,outside,good,example with lights at night