take_a,take_b,class,method,eval_point,dx,dy,d
sf1-1.MOV,sf1-2.MOV,same-setup,translation-1pt,hold_top,-2.0,1.0,2.23606797749979
sf1-1.MOV,sf1-2.MOV,same-setup,translation-1pt,hold_near,2.0,-1.0,2.23606797749979
sf1-1.MOV,sf1-2.MOV,same-setup,auto-similarity,hold_near,3.9335007069055337,0.9567631882810019,4.048187694472177
sf1-1.MOV,sf1-2.MOV,same-setup,auto-similarity,hold_top,1.98844154793818,1.7573091199221267,2.6536833142875706
sf1-1.MOV,sf1-2.MOV,same-setup,auto-homography,hold_near,3.8818359375,0.9193115234375,3.989208459854126
sf1-1.MOV,sf1-2.MOV,same-setup,auto-homography,hold_top,1.95654296875,1.830963134765625,2.679642915725708
sf1-1.MOV,sf1-3.MOV,same-setup,translation-1pt,hold_top,-6.0,-1.0,6.082762530298219
sf1-1.MOV,sf1-3.MOV,same-setup,translation-1pt,hold_near,6.0,1.0,6.082762530298219
sf1-1.MOV,sf1-3.MOV,same-setup,auto-similarity,hold_near,9.5280931388088,2.850979390672819,9.945483515036184
sf1-1.MOV,sf1-3.MOV,same-setup,auto-similarity,hold_top,3.7681503475291436,1.692454647381794,4.1307819810573685
sf1-1.MOV,sf1-3.MOV,same-setup,auto-homography,hold_near,9.319732666015625,2.8582763671875,9.748188018798828
sf1-1.MOV,sf1-3.MOV,same-setup,auto-homography,hold_top,3.5321044921875,1.888427734375,4.005236625671387
sf1-1.MOV,sr1-1.MOV,re-set,translation-1pt,hold_top,-15.0,-2.0,15.132745950421556
sf1-1.MOV,sr1-1.MOV,re-set,translation-1pt,hold_near,15.0,2.0,15.132745950421556
sf1-1.MOV,sr1-1.MOV,re-set,auto-similarity,hold_near,12.925636712835626,-5.629807114753703,14.098468448081004
sf1-1.MOV,sr1-1.MOV,re-set,auto-similarity,hold_top,-0.2132068154601825,-0.311933794618767,0.3778357293638804
sf1-1.MOV,sr1-1.MOV,re-set,auto-homography,hold_near,8.950897216796875,-3.9404296875,9.779853820800781
sf1-1.MOV,sr1-1.MOV,re-set,auto-homography,hold_top,2.7296600341796875,0.90185546875,2.8747847080230713
sf1-1.MOV,sr1-2.MOV,re-set,translation-1pt,hold_top,8.0,-21.0,22.47220505424423
sf1-1.MOV,sr1-2.MOV,re-set,translation-1pt,hold_near,-8.0,21.0,22.47220505424423
sf1-1.MOV,sr1-2.MOV,re-set,auto-similarity,hold_near,3.531162735632961,29.456838639319585,29.667734205504036
sf1-1.MOV,sr1-2.MOV,re-set,auto-similarity,hold_top,-15.402217678406885,15.103020810415728,21.57149848788628
sf1-1.MOV,sr1-2.MOV,re-set,auto-homography,hold_near,4.842437744140625,-1.328369140625,5.021331310272217
sf1-1.MOV,sr1-2.MOV,re-set,auto-homography,hold_top,3.2315673828125,0.97357177734375,3.3750362396240234
sf1-1.MOV,sr1-3.MOV,re-set,translation-1pt,hold_top,-2.0,-32.0,32.0624390837628
sf1-1.MOV,sr1-3.MOV,re-set,translation-1pt,hold_near,2.0,32.0,32.0624390837628
sf1-1.MOV,sr1-3.MOV,re-set,auto-similarity,hold_near,21.65165778083656,9.126515460677183,23.49654376950874
sf1-1.MOV,sr1-3.MOV,re-set,auto-similarity,hold_top,51.66761469373216,-24.08971315843337,57.00751431342683
sf1-1.MOV,sr1-3.MOV,re-set,auto-homography,hold_near,3.851043701171875,0.16943359375,3.854769229888916
sf1-1.MOV,sr1-3.MOV,re-set,auto-homography,hold_top,1.150970458984375,-2.48431396484375,2.7379825115203857
sf1-2.MOV,sf1-3.MOV,same-setup,translation-1pt,hold_top,-4.0,-2.0,4.47213595499958
sf1-2.MOV,sf1-3.MOV,same-setup,translation-1pt,hold_near,4.0,2.0,4.47213595499958
sf1-2.MOV,sf1-3.MOV,same-setup,auto-similarity,hold_near,5.430382139805886,1.9517768559555861,5.770483782124912
sf1-2.MOV,sf1-3.MOV,same-setup,auto-similarity,hold_top,1.6000308485728283,-0.029775297254673205,1.6003078718519412
sf1-2.MOV,sf1-3.MOV,same-setup,auto-homography,hold_near,5.374969482421875,2.0091552734375,5.738205432891846
sf1-2.MOV,sf1-3.MOV,same-setup,auto-homography,hold_top,1.6304779052734375,0.16668701171875,1.6389760971069336
sf1-2.MOV,sr1-1.MOV,re-set,translation-1pt,hold_top,-13.0,-3.0,13.341664064126334
sf1-2.MOV,sr1-1.MOV,re-set,translation-1pt,hold_near,13.0,3.0,13.341664064126334
sf1-2.MOV,sr1-1.MOV,re-set,auto-similarity,hold_near,12.63809345460163,-4.684850395819694,13.478472814026688
sf1-2.MOV,sr1-1.MOV,re-set,auto-similarity,hold_top,-0.6637257136256665,2.6359706876064593,2.718248202215605
sf1-2.MOV,sr1-1.MOV,re-set,auto-homography,hold_near,7.564361572265625,-4.284423828125,8.693437576293945
sf1-2.MOV,sr1-1.MOV,re-set,auto-homography,hold_top,0.1039276123046875,-1.30377197265625,1.3079075813293457
sf1-2.MOV,sr1-2.MOV,re-set,translation-1pt,hold_top,10.0,-22.0,24.166091947189145
sf1-2.MOV,sr1-2.MOV,re-set,translation-1pt,hold_near,-10.0,22.0,24.166091947189145
sf1-2.MOV,sr1-2.MOV,re-set,auto-similarity,hold_near,-1.1047746358117365,22.180570638676272,22.208067021990924
sf1-2.MOV,sr1-2.MOV,re-set,auto-similarity,hold_top,-14.163064328279233,7.705454315876409,16.123474110161062
sf1-2.MOV,sr1-2.MOV,re-set,auto-homography,hold_near,0.153167724609375,-2.5758056640625,2.580355644226074
sf1-2.MOV,sr1-2.MOV,re-set,auto-homography,hold_top,2.404205322265625,0.31854248046875,2.42521595954895
sf1-2.MOV,sr1-3.MOV,re-set,translation-1pt,hold_top,0.0,-33.0,33.0
sf1-2.MOV,sr1-3.MOV,re-set,translation-1pt,hold_near,0.0,33.0,33.0
sf1-2.MOV,sr1-3.MOV,re-set,auto-similarity,hold_near,1.397107436121189,14.683569859369754,14.749885864068814
sf1-2.MOV,sr1-3.MOV,re-set,auto-similarity,hold_top,22.749950039190537,-6.265317075275789,23.59691557893548
sf1-2.MOV,sr1-3.MOV,re-set,auto-homography,hold_near,9.223175048828125,5.2635498046875,10.619412422180176
sf1-2.MOV,sr1-3.MOV,re-set,auto-homography,hold_top,16.910247802734375,-4.04351806640625,17.386964797973633
sf1-3.MOV,sr1-1.MOV,re-set,translation-1pt,hold_top,-9.0,-1.0,9.055385138137417
sf1-3.MOV,sr1-1.MOV,re-set,translation-1pt,hold_near,9.0,1.0,9.055385138137417
sf1-3.MOV,sr1-1.MOV,re-set,auto-similarity,hold_near,4.598266167623649,-7.959852105834216,9.192567502883277
sf1-3.MOV,sr1-1.MOV,re-set,auto-similarity,hold_top,-3.3092564721055453,-1.41635344665724,3.599616018970674
sf1-3.MOV,sr1-1.MOV,re-set,auto-homography,hold_near,5.002044677734375,-6.25244140625,8.007088661193848
sf1-3.MOV,sr1-1.MOV,re-set,auto-homography,hold_top,3.8325042724609375,1.804931640625,4.236256122589111
sf1-3.MOV,sr1-2.MOV,re-set,translation-1pt,hold_top,14.0,-20.0,24.413111231467404
sf1-3.MOV,sr1-2.MOV,re-set,translation-1pt,hold_near,-14.0,20.0,24.413111231467404
sf1-3.MOV,sr1-2.MOV,re-set,auto-similarity,hold_near,-8.797237096564174,16.488182617389384,18.688272968831182
sf1-3.MOV,sr1-2.MOV,re-set,auto-similarity,hold_top,-17.096647916793984,2.000586135324056,17.213300522435173
sf1-3.MOV,sr1-2.MOV,re-set,auto-homography,hold_near,-4.77130126953125,-4.3341064453125,6.445912837982178
sf1-3.MOV,sr1-2.MOV,re-set,auto-homography,hold_top,0.329803466796875,-0.39031982421875,0.5109989047050476
sf1-3.MOV,sr1-3.MOV,re-set,translation-1pt,hold_top,4.0,-31.0,31.25699921617557
sf1-3.MOV,sr1-3.MOV,re-set,translation-1pt,hold_near,-4.0,31.0,31.25699921617557
sf1-3.MOV,sr1-3.MOV,re-set,auto-similarity,hold_near,1.0686840667026445,8.341298711980698,8.409479760182254
sf1-3.MOV,sr1-3.MOV,re-set,auto-similarity,hold_top,28.307650206528706,-16.416632275929032,32.723521746570306
sf1-3.MOV,sr1-3.MOV,re-set,auto-homography,hold_near,-2.472900390625,-4.212158203125,4.884415149688721
sf1-3.MOV,sr1-3.MOV,re-set,auto-homography,hold_top,0.157318115234375,-4.24163818359375,4.24455451965332
sr1-1.MOV,sr1-2.MOV,re-set,translation-1pt,hold_top,23.0,-19.0,29.832867780352597
sr1-1.MOV,sr1-2.MOV,re-set,translation-1pt,hold_near,-23.0,19.0,29.832867780352597
sr1-1.MOV,sr1-2.MOV,re-set,auto-similarity,hold_near,-9.304302448984686,20.674683668961052,22.6718457315188
sr1-1.MOV,sr1-2.MOV,re-set,auto-similarity,hold_top,-7.365488161492351,4.671710066416949,8.72211504176283
sr1-1.MOV,sr1-2.MOV,re-set,auto-homography,hold_near,-3.7872314453125,1.978759765625,4.273009777069092
sr1-1.MOV,sr1-2.MOV,re-set,auto-homography,hold_top,0.815582275390625,0.5911865234375,1.007311224937439
sr1-1.MOV,sr1-3.MOV,re-set,translation-1pt,hold_top,13.0,-30.0,32.69556544854363
sr1-1.MOV,sr1-3.MOV,re-set,translation-1pt,hold_near,-13.0,30.0,32.69556544854363
sr1-1.MOV,sr1-3.MOV,re-set,auto-similarity,hold_near,-3.1130347029738346,11.471564879263042,11.886453879987112
sr1-1.MOV,sr1-3.MOV,re-set,auto-similarity,hold_top,30.06384092731389,-1.721846027225979,30.113108193016338
sr1-1.MOV,sr1-3.MOV,re-set,auto-homography,hold_near,5.51214599609375,10.199951171875,11.594082832336426
sr1-1.MOV,sr1-3.MOV,re-set,auto-homography,hold_top,22.24676513671875,0.475830078125,22.251853942871094
sr1-2.MOV,sr1-3.MOV,re-set,translation-1pt,hold_top,-10.0,-11.0,14.866068747318506
sr1-2.MOV,sr1-3.MOV,re-set,translation-1pt,hold_near,10.0,11.0,14.866068747318506
sr1-2.MOV,sr1-3.MOV,re-set,auto-similarity,hold_near,18.719877498164124,5.0091823041541375,19.378486032260685
sr1-2.MOV,sr1-3.MOV,re-set,auto-similarity,hold_top,27.14421968280601,-19.488488523010005,33.41571257806611
sr1-2.MOV,sr1-3.MOV,re-set,auto-homography,hold_near,-1.793792724609375,1.5819091796875,2.391679048538208
sr1-2.MOV,sr1-3.MOV,re-set,auto-homography,hold_top,-2.692291259765625,-4.70391845703125,5.419896602630615
